text_id,aspect,evidence_span,polarity,confidence,model,latency_ms
0,الاماكن,الاماكن,Positive,0.9982,pyabsa-multilingual,49136
0,التسوق,التسوق,Positive,0.9976,pyabsa-multilingual,49136
1,مساحة,مساحة,Positive,0.9941,pyabsa-multilingual,49136
1,الالعاب,الالعاب,Positive,0.8274,pyabsa-multilingual,49136
2,place,place,Positive,0.9976,pyabsa-multilingual,49136
5,الموقع,الموقع,Positive,0.9818,pyabsa-multilingual,49136
7,منتزه,منتزه,Positive,0.9989,pyabsa-multilingual,49136
8,تصميم,تصميم,Positive,0.9965,pyabsa-multilingual,49136
8,الحمامات,الحمامات,Positive,0.9798,pyabsa-multilingual,49136
9,نظافة,نظافة,Positive,0.9978,pyabsa-multilingual,49136
11,الموقع,الموقع,Neutral,0.8579,pyabsa-multilingual,49136
11,لا,لا,Neutral,0.9093,pyabsa-multilingual,49136
12,سوق,سوق,Positive,0.9985,pyabsa-multilingual,49136
13,مكان,مكان,Positive,0.9988,pyabsa-multilingual,49136
16,قريه,قريه,Positive,0.9984,pyabsa-multilingual,49136
17,مكان,مكان,Positive,0.9882,pyabsa-multilingual,49136
18,مكان,مكان,Positive,0.9989,pyabsa-multilingual,49136
19,المكان,المكان,Positive,0.9986,pyabsa-multilingual,49136
21,اسعار,اسعار,Negative,0.9969,pyabsa-multilingual,49136
22,لعبة التوبوجان,لعبة التوبوجان,Positive,0.9699,pyabsa-multilingual,49136
24,راقية,راقية,Positive,0.9987,pyabsa-multilingual,49136
24,المكان,المكان,Positive,0.9988,pyabsa-multilingual,49136
25,مكان,مكان,Positive,0.9862,pyabsa-multilingual,49136
26,متنزه,متنزه,Positive,0.9988,pyabsa-multilingual,49136
27,لاسعارة,لاسعارة,Positive,0.8714,pyabsa-multilingual,49136
30,خدمه,خدمه,Positive,0.7175,pyabsa-multilingual,49136
30,بانيو,بانيو,Positive,0.926,pyabsa-multilingual,49136
31,السوده,السوده,Positive,0.9953,pyabsa-multilingual,49136
33,الطريق,الطريق,Negative,0.9491,pyabsa-multilingual,49136
33,على,على,Positive,0.9477,pyabsa-multilingual,49136
35,ج,ج,Positive,0.5889,pyabsa-multilingual,49136
36,خدمات,خدمات,Negative,0.9217,pyabsa-multilingual,49136
36,مطعم,مطعم,Negative,0.9377,pyabsa-multilingual,49136
38,رز,رز,Negative,0.9966,pyabsa-multilingual,49136
38,بهارات,بهارات,Negative,0.9971,pyabsa-multilingual,49136
40,سد,سد,Negative,0.9913,pyabsa-multilingual,49136
40,خدمات,خدمات,Negative,0.9936,pyabsa-multilingual,49136
42,الخدمات المكتبيه,الخدمات المكتبيه,Positive,0.9988,pyabsa-multilingual,49136
42,والمتحف الجميل,والمتحف الجميل,Positive,0.9985,pyabsa-multilingual,49136
43,مطعم,مطعم,Positive,0.9987,pyabsa-multilingual,49136
43,تعامل,تعامل,Positive,0.9989,pyabsa-multilingual,49136
44,الجو,الجو,Positive,0.9985,pyabsa-multilingual,49136
44,العاب الاطفال,العاب الاطفال,Positive,0.9978,pyabsa-multilingual,49136
45,نظافة,نظافة,Positive,0.9988,pyabsa-multilingual,49136
45,شي,شي,Positive,0.9989,pyabsa-multilingual,49136
46,place,place,Positive,0.9986,pyabsa-multilingual,49136
47,مكان,مكان,Positive,0.9986,pyabsa-multilingual,49136
47,مطعم,مطعم,Positive,0.9988,pyabsa-multilingual,49136
48,atmosphere,atmosphere,Positive,0.9616,pyabsa-multilingual,49136
50,room,room,Positive,0.9984,pyabsa-multilingual,49136
51,مريح,مريح,Positive,0.9971,pyabsa-multilingual,49136
52,القائمين,القائمين,Positive,0.9987,pyabsa-multilingual,49136
53,فندق,فندق,Positive,0.9982,pyabsa-multilingual,49136
53,خدماته,خدماته,Positive,0.9986,pyabsa-multilingual,49136
53,المسجد النبوي,المسجد النبوي,Positive,0.9988,pyabsa-multilingual,49136
55,place,place,Positive,0.9058,pyabsa-multilingual,49136
56,مكان,مكان,Positive,0.9987,pyabsa-multilingual,49136
57,place,place,Positive,0.9985,pyabsa-multilingual,49136
58,فندق,فندق,Positive,0.9973,pyabsa-multilingual,49136
58,النظافة,النظافة,Positive,0.9975,pyabsa-multilingual,49136
58,والهدوء,والهدوء,Positive,0.9976,pyabsa-multilingual,49136
58,موظف الاستقبال,موظف الاستقبال,Positive,0.9983,pyabsa-multilingual,49136
59,مكان,مكان,Positive,0.9988,pyabsa-multilingual,49136
60,موقع,موقع,Positive,0.9943,pyabsa-multilingual,49136
60,خدمات,خدمات,Negative,0.9593,pyabsa-multilingual,49136
62,لحم المندي,لحم المندي,Positive,0.9984,pyabsa-multilingual,49136
63,place,place,Positive,0.9978,pyabsa-multilingual,49136
65,فندق,فندق,Positive,0.9984,pyabsa-multilingual,49136
65,استقباله,استقباله,Positive,0.9986,pyabsa-multilingual,49136
65,وتعاملهم,وتعاملهم,Positive,0.9983,pyabsa-multilingual,49136
66,ارتفاع,ارتفاع,Negative,0.6223,pyabsa-multilingual,49136
66,جنوبيه,جنوبيه,Neutral,0.5098,pyabsa-multilingual,49136
67,الصور,الصور,Positive,0.9076,pyabsa-multilingual,49136
68,مساحة,مساحة,Positive,0.9985,pyabsa-multilingual,49136
68,العاب,العاب,Positive,0.9986,pyabsa-multilingual,49136
69,الفندق,الفندق,Positive,0.9988,pyabsa-multilingual,49136
69,الاستقبال جدا,الاستقبال جدا,Positive,0.9988,pyabsa-multilingual,49136
70,المكان,المكان,Positive,0.9987,pyabsa-multilingual,49136
70,جميل,جميل,Positive,0.9988,pyabsa-multilingual,49136
70,للتصوير,للتصوير,Positive,0.9988,pyabsa-multilingual,49136
71,إدارة,إدارة,Negative,0.9968,pyabsa-multilingual,49136
73,المتحف,المتحف,Negative,0.997,pyabsa-multilingual,49136
76,منتزه,منتزه,Positive,0.9988,pyabsa-multilingual,49136
77,الطعام,الطعام,Negative,0.9736,pyabsa-multilingual,49136
77,الغرف,الغرف,Negative,0.9928,pyabsa-multilingual,49136
78,في فندق,في فندق,Positive,0.9986,pyabsa-multilingual,49136
79,حديقة,حديقة,Positive,0.9985,pyabsa-multilingual,49136
81,متحف,متحف,Negative,0.9894,pyabsa-multilingual,49136
82,فندق,فندق,Positive,0.9985,pyabsa-multilingual,49136
82,رائعين,رائعين,Positive,0.9988,pyabsa-multilingual,49136
84,place,place,Negative,0.9919,pyabsa-multilingual,49136
89,مكان,مكان,Positive,0.9988,pyabsa-multilingual,49136
90,مكان,مكان,Positive,0.9972,pyabsa-multilingual,49136
95,rooms,rooms,Positive,0.9979,pyabsa-multilingual,49136
96,رحلة,رحلة,Positive,0.9965,pyabsa-multilingual,49136
96,الموسيقى,الموسيقى,Negative,0.7681,pyabsa-multilingual,49136
97,playground,playground,Negative,0.9717,pyabsa-multilingual,49136
97,games,games,Negative,0.9944,pyabsa-multilingual,49136
98,المكان,المكان,Positive,0.9429,pyabsa-multilingual,49136
98,الجلسات,الجلسات,Positive,0.9789,pyabsa-multilingual,49136
99,مكان,مكان,Positive,0.9988,pyabsa-multilingual,49136
0,للسباحه,للسباحه,Positive,0.9987,pyabsa-multilingual,43433
1,استقبال مطعم فندق,استقبال مطعم فندق,Positive,0.932,pyabsa-multilingual,43433
2,العرض,العرض,Positive,0.7645,pyabsa-multilingual,43433
2,سعره,سعره,Positive,0.6185,pyabsa-multilingual,43433
3,مكافحة الحشرات,مكافحة الحشرات,Negative,0.993,pyabsa-multilingual,43433
4,شبكة الجوال,شبكة الجوال,Negative,0.9922,pyabsa-multilingual,43433
6,place,place,Positive,0.9982,pyabsa-multilingual,43433
10,بدومة,بدومة,Positive,0.9856,pyabsa-multilingual,43433
12,جوله,جوله,Positive,0.9988,pyabsa-multilingual,43433
13,الجالسين,الجالسين,Negative,0.9942,pyabsa-multilingual,43433
14,الاثاث,الاثاث,Negative,0.9931,pyabsa-multilingual,43433
15,park,park,Positive,0.9974,pyabsa-multilingual,43433
17,EXPERIENCE,EXPERIENCE,Positive,0.9987,pyabsa-multilingual,43433
19,place,place,Positive,0.9976,pyabsa-multilingual,43433
20,الطريق,الطريق,Negative,0.9873,pyabsa-multilingual,43433
21,place,place,Positive,0.9878,pyabsa-multilingual,43433
21,restrooms,restrooms,Negative,0.9432,pyabsa-multilingual,43433
23,أجواء,أجواء,Positive,0.9989,pyabsa-multilingual,43433
25,الجلابيب,الجلابيب,Positive,0.9943,pyabsa-multilingual,43433
25,اقمشه,اقمشه,Positive,0.9913,pyabsa-multilingual,43433
28,مول,مول,Negative,0.9944,pyabsa-multilingual,43433
29,park,park,Positive,0.9976,pyabsa-multilingual,43433
30,المكان,المكان,Positive,0.9947,pyabsa-multilingual,43433
30,المنتزه,المنتزه,Negative,0.9699,pyabsa-multilingual,43433
31,مكان,مكان,Positive,0.9979,pyabsa-multilingual,43433
32,place,place,Positive,0.9986,pyabsa-multilingual,43433
33,market,market,Positive,0.9983,pyabsa-multilingual,43433
34,التراب,التراب,Negative,0.9826,pyabsa-multilingual,43433
34,القطط,القطط,Negative,0.9896,pyabsa-multilingual,43433
35,المتحف,المتحف,Negative,0.997,pyabsa-multilingual,43433
36,مكان,مكان,Positive,0.9988,pyabsa-multilingual,43433
37,شاطئ,شاطئ,Negative,0.9966,pyabsa-multilingual,43433
38,حجمه,حجمه,Positive,0.9973,pyabsa-multilingual,43433
38,سور,سور,Positive,0.9965,pyabsa-multilingual,43433
41,Tv,Tv,Negative,0.9279,pyabsa-multilingual,43433
42,stuff,stuff,Negative,0.8808,pyabsa-multilingual,43433
43,المكان,المكان,Negative,0.9951,pyabsa-multilingual,43433
47,المكان,المكان,Negative,0.985,pyabsa-multilingual,43433
47,شرطه البيئه,شرطه البيئه,Negative,0.8946,pyabsa-multilingual,43433
47,انوار مظلم المكان,انوار مظلم المكان,Negative,0.934,pyabsa-multilingual,43433
49,hotel,hotel,Positive,0.9975,pyabsa-multilingual,43433
50,مكان,مكان,Positive,0.9989,pyabsa-multilingual,43433
51,النظافه,النظافه,Negative,0.9966,pyabsa-multilingual,43433
52,المكان,المكان,Positive,0.9949,pyabsa-multilingual,43433
52,تذاكر,تذاكر,Negative,0.9839,pyabsa-multilingual,43433
